"","Date","coral.id.x","Origin","Treatment.y","Transplant.Site","N","Cells.x3.mm3","sd","se","ci"
"1",20180702,"P-3-A","Patch","Ambient","Patch",1,7.04282293266995,NA,NA,NA
"2",20180702,"R-11-A","Rim","Hot","Patch",3,18.0755032243875,2.78034250218801,1.6052314920776,6.9067536612675
"3",20180702,"R-15-A","Rim","Hot","Patch",1,12.5899045598487,NA,NA,NA
"4",20180703,"P-12-A","Patch","Hot","Patch",2,15.2418190781162,10.1773886557487,7.19650053325097,91.4402091594772
"5",20180703,"P-3-A","Patch","Ambient","Patch",1,6.47259775869142,NA,NA,NA
"6",20180703,"R-11-A","Rim","Hot","Patch",2,23.1781220768754,0.977888263468272,0.691471422341152,8.7859774614806
"7",20180703,"R-15-A","Rim","Hot","Patch",1,9.40751522723068,NA,NA,NA
"8",20180704,"R-11-A","Rim","Hot","Patch",1,44.6526491292585,NA,NA,NA
"9",20180705,"R-11-A","Rim","Hot","Patch",1,22.6566739106112,NA,NA,NA
"10",20180706,"P-12-A","Patch","Hot","Patch",2,15.4070825545841,5.22933722527075,3.69769981310019,46.9837308781659
"11",20180706,"P-14-A","Patch","Hot","Patch",1,6.47610793182615,NA,NA,NA
"12",20180706,"P-15-A","Patch","Hot","Patch",1,3.65272620132325,NA,NA,NA
"13",20180706,"R-7-A","Rim","Ambient","Patch",1,9.51247856312043,NA,NA,NA
"14",20180707,"P-12-A","Patch","Hot","Patch",1,21.5201564858509,NA,NA,NA
"15",20180707,"P-14-A","Patch","Hot","Patch",1,19.5662785726683,NA,NA,NA
"16",20180707,"P-15-A","Patch","Hot","Patch",1,26.8016087682525,NA,NA,NA
"17",20180707,"P-4-A","Patch","Ambient","Patch",1,33.5736411540858,NA,NA,NA
"18",20180707,"R-11-A","Rim","Hot","Patch",1,49.193784783886,NA,NA,NA
"19",20180708,"P-14-B","Patch","Hot","Rim",1,30.2006807129292,NA,NA,NA
"20",20180708,"P-15-A","Patch","Hot","Patch",1,19.0069964283655,NA,NA,NA
"21",20180708,"R-9-A","Rim","Ambient","Patch",1,71.9097651229443,NA,NA,NA
"22",20180709,"P-10-A","Patch","Ambient","Patch",1,32.183026058582,NA,NA,NA
"23",20180709,"P-12-A","Patch","Hot","Patch",1,16.5283126080994,NA,NA,NA
"24",20180709,"P-14-A","Patch","Hot","Patch",1,19.1649988084852,NA,NA,NA
"25",20180709,"P-14-B","Patch","Hot","Rim",1,26.412063628082,NA,NA,NA
"26",20180709,"P-15-A","Patch","Hot","Patch",1,12.0950935303933,NA,NA,NA
"27",20180709,"P-16-A","Patch","Hot","Patch",1,18.2425550947663,NA,NA,NA
"28",20180709,"P-19-A","Patch","Hot","Patch",1,22.9159594227693,NA,NA,NA
"29",20180709,"P-19-B","Patch","Hot","Rim",1,24.9311839622574,NA,NA,NA
"30",20180709,"P-4-A","Patch","Ambient","Patch",1,31.5155565461855,NA,NA,NA
"31",20180709,"P-6-A","Patch","Ambient","Patch",1,38.9767161802855,NA,NA,NA
"32",20180709,"R-7-B","Rim","Ambient","Rim",1,17.8790259534285,NA,NA,NA
"33",20180710,"P-10-A","Patch","Ambient","Patch",1,27.1728563462422,NA,NA,NA
"34",20180710,"P-10-B","Patch","Ambient","Rim",1,30.7192567247382,NA,NA,NA
"35",20180710,"P-12-A","Patch","Hot","Patch",1,13.9636093804851,NA,NA,NA
"36",20180710,"P-12-B","Patch","Hot","Rim",1,34.1090392271435,NA,NA,NA
"37",20180710,"P-14-A","Patch","Hot","Patch",1,22.7835564501085,NA,NA,NA
"38",20180710,"P-15-B","Patch","Hot","Rim",1,32.6645561331814,NA,NA,NA
"39",20180710,"P-16-A","Patch","Hot","Patch",1,17.4394818209301,NA,NA,NA
"40",20180710,"P-19-B","Patch","Hot","Rim",1,51.6446659759491,NA,NA,NA
"41",20180710,"R-11-B","Rim","Hot","Rim",1,63.4758250055196,NA,NA,NA
"42",20180711,"P-10-A","Patch","Ambient","Patch",1,17.467996691123,NA,NA,NA
"43",20180711,"P-10-B","Patch","Ambient","Rim",1,23.5266643169597,NA,NA,NA
"44",20180711,"P-12-A","Patch","Hot","Patch",1,19.1000362234049,NA,NA,NA
"45",20180711,"P-12-B","Patch","Hot","Rim",1,33.5109955686668,NA,NA,NA
"46",20180711,"P-14-B","Patch","Hot","Rim",1,47.6371296666914,NA,NA,NA
"47",20180711,"P-15-B","Patch","Hot","Rim",1,27.5462736423027,NA,NA,NA
"48",20180711,"P-16-A","Patch","Hot","Patch",1,27.2387206619586,NA,NA,NA
"49",20180711,"P-19-A","Patch","Hot","Patch",1,28.958346725733,NA,NA,NA
"50",20180711,"P-19-B","Patch","Hot","Rim",1,37.6267888288526,NA,NA,NA
"51",20180711,"P-4-A","Patch","Ambient","Patch",1,38.0598326135702,NA,NA,NA
"52",20180711,"P-9-A","Patch","Ambient","Patch",1,13.4461546180403,NA,NA,NA
"53",20180711,"R-14-B","Rim","Hot","Rim",1,31.745326567545,NA,NA,NA
"54",20180711,"R-15-A","Rim","Hot","Patch",1,31.1350810232068,NA,NA,NA
"55",20180711,"R-7-A","Rim","Ambient","Patch",1,30.170237264478,NA,NA,NA
"56",20180711,"R-7-B","Rim","Ambient","Rim",1,27.0601399139414,NA,NA,NA
"57",20180711,"R-8-A","Rim","Ambient","Patch",1,51.2917841794045,NA,NA,NA
"58",20180712,"P-10-A","Patch","Ambient","Patch",1,21.6026737180125,NA,NA,NA
"59",20180712,"P-12-A","Patch","Hot","Patch",1,22.1750556249232,NA,NA,NA
"60",20180712,"P-15-B","Patch","Hot","Rim",1,31.7868089084793,NA,NA,NA
"61",20180712,"P-16-A","Patch","Hot","Patch",1,16.0147618809593,NA,NA,NA
"62",20180712,"P-19-A","Patch","Hot","Patch",1,18.9075439317402,NA,NA,NA
"63",20180712,"P-4-A","Patch","Ambient","Patch",1,39.9181487421925,NA,NA,NA
"64",20180712,"R-14-B","Rim","Hot","Rim",1,35.3393468624613,NA,NA,NA
"65",20180712,"R-15-A","Rim","Hot","Patch",1,20.1717537350012,NA,NA,NA
"66",20180712,"R-8-A","Rim","Ambient","Patch",1,52.4897070831526,NA,NA,NA
"67",20180712,"R-9-B","Rim","Ambient","Rim",1,48.7321332419899,NA,NA,NA
"68",20180713,"P-19-A","Patch","Hot","Patch",1,29.173323850729,NA,NA,NA
"69",20180713,"P-6-B","Patch","Ambient","Rim",1,18.2912273568892,NA,NA,NA
"70",20180713,"R-14-B","Rim","Hot","Rim",1,22.614007096353,NA,NA,NA
"71",20180713,"R-15-A","Rim","Hot","Patch",1,17.0205501103077,NA,NA,NA
"72",20180713,"R-19-A","Rim","Hot","Patch",1,11.477822070195,NA,NA,NA
"73",20180713,"R-19-B","Rim","Hot","Rim",1,25.1598676724152,NA,NA,NA
"74",20180713,"R-7-B","Rim","Ambient","Rim",2,24.0134194343015,5.51984601933401,3.90312055137665,49.5938488357627
